illustration_id,en,ja
i-0862,facilitate,促進する、容易にする
i-0863,bear,耐える、産む
i-0864,political,政治的な
i-0865,aspect,側面、観点
i-0866,significant,重要な、大きな
i-0867,plastic,プラスチックの、柔軟な
i-0868,chemical,化学の、化学的な
i-0869,contribute,貢献する、一因となる
i-0870,wind,巻く、曲がりくねる
i-0871,desire,願望、欲する
i-0872,concept,概念
i-0873,context,文脈、背景
i-0874,strategy,戦略
i-0875,consequence,結果、重大性
i-0876,gene,遺伝子
i-0877,revolution,革命
i-0878,vast,広大な、膨大な
i-0879,moral,道徳的な、倫理的な
i-0880,stick,くっつく、刺す
i-0881,engage,従事する、関与させる
i-0882,address,対処する、演説する
i-0883,bore,退屈させる、穴をあける
i-0884,capacity,容量、収容力
i-0885,authority,権威、当局
i-0886,psychology,心理学
i-0887,agriculture,農業
i-0888,conscious,意識している、意識のある
i-0889,fundamental,基本の、根本的な
i-0890,artificial,人工の、不自然な
i-0891,military,軍事の、軍隊
i-0892,nuclear,核の、原子力の
i-0893,visual,視覚の、目に見える
i-0894,demonstrate,実証する、示す
i-0895,appeal,訴える、魅力
i-0896,insist,強く主張する、言い張る
i-0897,favor,賛成する、好意
i-0898,inspire,奮い立たせる、ひらめかせる
i-0899,consist,成り立つ、含む
i-0900,presence,存在、出席
i-0901,trait,特性、特徴
i-0902,diversity,多様性
i-0903,dialect,方言
i-0904,proportion,割合、比率
i-0905,tribe,部族
i-0906,widespread,広く行き渡った、広範囲の
i-0907,civil,市民の、民間の
i-0908,sensitive,敏感な、繊細な
i-0909,crucial,極めて重要な、重大な
i-0910,grant,与える、認める
i-0911,credit,功績、信用
i-0912,transform,変える、変容させる
i-0913,construct,建設する、構成する
i-0914,fascinate,魅了する、興味を引く
i-0915,interact,交流する、関わり合う
i-0916,democracy,民主主義、民主政治
i-0917,corporation,法人、企業
i-0918,depression,憂うつ、不況
i-0919,immigration,移民、移住
i-0920,discipline,規律、しつけ
i-0921,statistics,統計
i-0922,welfare,福祉、幸福
i-0923,prime,主要な、最重要の
i-0924,distinct,はっきり異なる、明確な
i-0925,vital,不可欠な、生命の
i-0926,extraordinary,並外れた、異常な
i-0927,aggressive,攻撃的な、積極的な
i-0928,precise,正確な、精密な
i-0929,latter,後者の
i-0930,commit,約束する、犯す
i-0931,stimulate,刺激する、活性化する
i-0932,enhance,高める、強める
i-0933,pursue,追求する、追いかける
i-0934,invest,投資する、注ぎ込む
i-0935,trace,跡、たどる
i-0936,illustrate,説明する、例示する
i-0937,convey,伝える、運ぶ
i-0938,puzzle,当惑させる、難問
i-0939,cope,対処する
i-0940,investigate,調査する、捜査する
i-0941,symptom,症状
i-0942,incident,出来事、事件
i-0943,burden,負担
i-0944,logic,論理
i-0945,exception,例外
i-0946,surgery,手術
i-0947,territory,領土、区域
i-0948,boundary,境界、限界
i-0949,habitat,生息地
i-0950,cooperation,協力、連携
i-0951,reputation,評判
i-0952,internal,内部の、内面的な
i-0953,remote,遠隔の、遠い
i-0954,relevant,関連がある、適切な
i-0955,permanent,永続的な、永久の
i-0956,intense,強烈な、激しい
i-0957,meaningful,意義のある、意味のある
i-0958,evil,邪悪な、悪
i-0959,extinct,絶滅した
i-0960,tropical,熱帯の
i-0961,detect,感知する、見つける
i-0962,devote,ささげる、専念する
i-0963,urge,強く促す、主張する
i-0964,restrict,制限する、限定する
i-0965,accompany,同行する、伴う
i-0966,endanger,危険にさらす
i-0967,acknowledge,認める、謝意を示す
i-0968,evaluate,評価する、査定する
i-0969,reverse,逆にする、反転する
i-0970,assign,割り当てる、課す
i-0971,accomplish,成し遂げる、完成する
i-0972,wisdom,知恵、賢明さ
i-0973,heritage,遺産、伝統
i-0974,elite,エリート、精鋭
i-0975,protein,たんぱく質
i-0976,sacrifice,犠牲、犠牲にする
i-0977,tissue,組織、ティッシュ
i-0978,prejudice,偏見、先入観
i-0979,justice,正義、公正
i-0980,sector,部門、分野
i-0981,glacier,氷河
i-0982,usage,使用、用法
i-0983,literary,文学の、文語の
i-0984,unfamiliar,なじみのない、不慣れな
i-0985,marine,海の、海軍の
i-0986,apparent,明らかな、見たところの
i-0987,royal,王室の、王の
i-0988,via,経由で
i-0989,assess,評価する、査定する
i-0990,remark,意見、発言する
i-0991,distribute,配布する、分配する
i-0992,command,命じる、指揮
i-0993,occupy,占める、居住する
i-0994,frustrate,いらだたせる、挫折させる
i-0995,relieve,和らげる、安心させる
i-0996,peer,じっと見つめる、同僚
i-0997,delight,喜ばせる、喜び
i-0998,boost,押し上げる、増やす
i-0999,compose,構成する、作曲する
i-1000,embrace,受け入れる、抱きしめる
i-1001,enthusiasm,熱意、熱情
i-1002,mode,方式、モード
i-1003,span,期間、範囲
i-1004,gravity,重力、重大さ
i-1005,soul,魂、精神
i-1006,nerve,神経、度胸
i-1007,infection,感染
i-1008,instinct,本能
i-1009,obstacle,障害、妨げ
i-1010,architecture,建築、構造
i-1011,drought,干ばつ
i-1012,sake,ために
i-1013,manual,手作業の、取扱説明書
i-1014,mechanical,機械の、機械的な
i-1015,mature,成熟した、大人の
i-1016,likewise,同様に
i-1017,sue,訴える
i-1018,gaze,見つめる、視線
i-1019,overwhelm,圧倒する、打ちのめす
i-1020,substitute,代用する、代用品
i-1021,trigger,引き起こす、引き金
i-1022,interfere,干渉する、妨げる
i-1023,anticipate,予想する、予期する
i-1024,classify,分類する
i-1025,mount,据え付ける、乗る
i-1026,exceed,超える
i-1027,confront,直面する、立ち向かう
i-1028,fulfill,果たす、満たす
i-1029,mill,工場、製粉所
i-1030,tragedy,悲劇
i-1031,allergy,アレルギー
i-1032,folk,人々、民俗の
i-1033,fare,運賃、料金
i-1034,skeleton,骨格、骨組み
i-1035,pedestrian,歩行者
i-1036,ratio,比率、割合
i-1037,ambition,大望、野心
i-1038,prompt,即座の、促す
i-1039,mutual,相互の
i-1040,neutral,中立の
i-1041,fluent,流ちょうな
i-1042,external,外部の、対外的な
i-1043,unrelated,無関係の
i-1044,urgent,緊急の
i-1045,negotiate,交渉する
i-1046,forecast,予測する、予報
i-1047,exclude,除外する
i-1048,overlook,見落とす、大目に見る
i-1049,highlight,強調する、目立たせる
i-1050,distract,注意をそらす
i-1051,log,記録する、ログオンする
i-1052,astonish,驚かせる
i-1053,blend,混ぜる、混ざる
i-1054,dedicate,ささげる、専念する
i-1055,equip,備え付ける、装備する
i-1056,penalty,罰、罰金
i-1057,nutrition,栄養
i-1058,nationality,国籍
i-1059,clinic,診療所、クリニック
i-1060,fingerprint,指紋
i-1061,panic,パニック、恐慌
i-1062,fabric,布地、織物
i-1063,valid,有効な、妥当な
i-1064,moderate,適度な、穏健な
i-1065,tremendous,莫大な、すさまじい
i-1066,pregnant,妊娠している
i-1067,filter,ろ過する、取り除く
i-1068,bet,賭ける、断言する
i-1069,accuse,告発する、非難する
i-1070,vanish,消える、姿を消す
i-1071,commute,通勤する、通学する
i-1072,postpone,延期する
i-1073,inherit,受け継ぐ、相続する
i-1074,cue,合図
i-1075,mankind,人類
i-1076,fiber,繊維、食物繊維
i-1077,sensible,賢明な、分別のある
i-1078,vague,あいまいな、漠然とした
i-1079,seasonal,季節の、季節的な
i-1080,ridiculous,ばかげた、笑えるほどおかしい
i-1081,clip,切り抜く、クリップ
i-1082,scatter,まき散らす、散らばる
i-1083,irritate,いら立たせる、刺激する
i-1084,insult,侮辱する、侮辱
i-1085,drain,排出する、排水口
i-1086,drift,漂う、流される
i-1087,revise,修正する、改訂する
i-1088,chamber,部屋、議場
i-1089,herd,群れ
i-1090,pity,残念なこと、同情
i-1091,drill,訓練、ドリル
i-1092,monument,記念碑
i-1093,straightforward,率直な、分かりやすい
i-1094,transparent,透明な、明白な
i-1095,steep,急な、急激な
i-1096,ongoing,進行中の、継続中の
i-1097,blossom,花が咲く、開花
i-1098,terrify,怖がらせる
i-1099,deceive,だます
i-1100,starve,飢える、飢えさせる
i-1101,startle,驚かせる
i-1102,worsen,悪化する
i-1103,chaos,混乱、混沌
i-1104,horror,恐怖、嫌悪
i-1105,signature,署名
i-1106,aisle,通路
i-1107,destiny,運命
i-1108,outstanding,傑出した、目立った
i-1109,worthwhile,価値がある、やりがいがある
i-1110,probable,ありそうな
i-1111,gradual,徐々の、段階的な
i-1112,vivid,鮮やかな、生き生きした
i-1113,bloom,花が咲く、開花
i-1114,depart,出発する、去る
i-1115,cram,詰め込む、詰め込み勉強する
i-1116,glow,輝く、ほてる
i-1117,dump,投棄する、捨てる
i-1118,pill,錠剤
i-1119,reception,受付、反応
i-1120,dairy,乳製品、乳製品売り場
i-1121,posture,姿勢
i-1122,funeral,葬式
i-1123,cereal,シリアル、穀物
i-1124,patch,部分、つぎ当て
i-1125,rubbish,ごみ、つまらない物
i-1126,maze,迷路
i-1127,ally,同盟国、味方
i-1128,blade,刃、葉
i-1129,bargain,掘り出し物、値引き品
i-1130,naked,裸の
i-1131,sincere,誠実な、心からの
i-1132,dim,薄暗い、ぼんやりした
i-1133,regain,取り戻す
i-1134,squeeze,押し込む、絞る
i-1135,drown,溺れる、溺れさせる
i-1136,dip,浸す、少し下がる
i-1137,soak,浸す、ずぶぬれにする
i-1138,stir,かき混ぜる、かき立てる
i-1139,envy,うらやむ、ねたみ
i-1140,domain,領域、分野
i-1141,shield,盾、防ぐ
i-1142,flesh,肉、皮膚
i-1143,limb,手足、枝
i-1144,revenge,復讐
i-1145,jealous,嫉妬深い、用心深い
i-1146,snap,ポキッと折る、パチンと音を立てる
i-1147,erase,消す、消去する
i-1148,bounce,跳ねる、反発する
i-1149,barrel,樽、銃身
i-1150,thread,糸、筋道
i-1151,stall,屋台、失速する
i-1152,warrior,戦士
i-1153,stack,積み重ねる、山
i-1154,tweet,つぶやく
i-1155,mock,ばかにする、からかう
i-1156,stain,汚す、しみ
i-1157,roar,ほえる、うなる
i-1158,fetch,持ってくる、取ってくる
i-1159,liver,肝臓
i-1160,swear,ののしる、誓う
i-1161,mercy,慈悲、情け
i-1162,bulk,大部分、かさ
i-1163,reunion,再会
i-1164,greed,強欲、欲深さ
i-1165,texture,手触り、質感
i-1166,earnest,真剣な、熱心な
i-1167,humid,湿気の多い
i-1168,conversely,逆に、反対に
i-1169,applicable,適用できる、当てはまる
i-1170,comprehensive,包括的な、総合的な
i-1171,ethical,倫理的な
i-1172,credible,信頼できる、説得力のある
i-1173,constraint,制約、制限
i-1174,framework,枠組み、骨組み
i-1175,mechanism,仕組み、機構
i-1176,certainty,確実性、確信
i-1177,clarity,明確さ
i-1178,composition,構成、成分
i-1179,credibility,信頼性
i-1180,engagement,関与、参加
i-1181,specify,指定する、明記する
i-1182,instruct,指示する、教える
i-1183,object,反対する、物
i-1184,medium,媒体、手段
i-1185,instance,例、場合
i-1186,novel,新しい、小説
i-1187,universal,普遍的な、万能の
i-1188,whereas,一方で、なのに対して
i-1189,strike,心に響く、打つ
i-1190,evolve,進化する、発展する
i-1191,preserve,保存する、保護する
i-1192,principle,原則、原理
i-1193,circumstance,事情、状況
i-1194,institution,機関、制度
i-1195,perspective,視点、見方
i-1196,biological,生物学の、生物の
i-1197,nevertheless,それでも
i-1198,perceive,知覚する、気づく
i-1199,distinguish,区別する、見分ける
i-1200,imply,示唆する、ほのめかす
i-1201,rank,順位をつける、順位
i-1202,expose,さらす、暴露する
i-1203,notion,考え、概念
i-1204,philosophy,哲学
i-1205,substance,物質、実質
i-1206,contemporary,現代の、同時代の
i-1207,contrary,反対の、逆の
i-1208,superior,優れた、上司
i-1209,virtual,仮想の、事実上の
i-1210,manufacture,製造する、製造
i-1211,insight,洞察、見識
i-1212,innovation,革新
i-1213,stereotype,固定観念、類型
i-1214,disorder,障害、混乱
i-1215,physician,医師
i-1216,colony,植民地、集団居住地
i-1217,conventional,従来の、慣習的な
i-1218,abstract,抽象的な、要約
i-1219,ethnic,民族の、人種の
i-1220,alien,異質な、外国人
i-1221,breed,繁殖させる、品種
i-1222,monitor,監視する、モニター
i-1223,eliminate,取り除く、排除する
i-1224,sequence,連続、順序
i-1225,therapy,療法、治療
i-1226,conservation,保護、保存
i-1227,predator,捕食動物、略奪者
i-1228,bias,偏り、偏見
i-1229,patent,特許、特許を取る
i-1230,component,構成要素、部品
i-1231,verbal,言葉の、口頭の
i-1232,principal,主要な、校長
i-1233,equivalent,同等の、相当する
i-1234,rational,理性的な、合理的な
i-1235,absolute,絶対的な、完全な
i-1236,mere,単なる
i-1237,dominate,支配する、圧倒する
i-1238,isolate,孤立させる、隔離する
i-1239,specialize,専門にする、専攻する
i-1240,attribute,のせいだとする、属性
i-1241,neglect,おろそかにする、怠る
i-1242,reform,改革する、改革
i-1243,sustain,維持する、持続させる
i-1244,literacy,読み書き能力、識字
i-1245,haven,避難所、安全な場所
i-1246,inequality,不平等、格差
i-1247,liberal,自由主義の、寛大な
i-1248,federal,連邦の
i-1249,primitive,原始的な、未開の
i-1250,reluctant,気が進まない、渋々の
i-1251,pose,提起する、もたらす
i-1252,yield,生む、譲る
i-1253,exhibit,示す、展示する
i-1254,pop,急に現れる、はじける
i-1255,derive,由来する、引き出す
i-1256,convert,転換する、改宗させる
i-1257,correspond,一致する、文通する
i-1258,impose,課す、押しつける
i-1259,prohibit,禁止する
i-1260,modify,修正する、変更する
i-1261,qualify,資格を与える、条件を満たす
i-1262,orbit,軌道、周回する
i-1263,incentive,動機、励み
i-1264,prospect,見込み、見通し
i-1265,illusion,錯覚、幻想
i-1266,discrimination,差別、識別
i-1267,ritual,儀式、慣習的行為
i-1268,prefecture,県、府
i-1269,administration,行政、運営
i-1270,curriculum,教育課程、カリキュラム
i-1271,Arctic,北極の
i-1272,ultimate,究極の、最終的な
i-1273,immune,免疫のある、影響を受けない
i-1274,collective,集団の、共同の
i-1275,inevitable,避けられない
i-1276,retain,保持する、覚えておく
i-1277,reproduce,複製する、繁殖する
i-1278,cultivate,耕す、養う
i-1279,justify,正当化する、正しいと示す
i-1280,regulate,規制する、調整する
i-1281,undergo,経験する、受ける
i-1282,privilege,特権、特典
i-1283,formation,形成、編成
i-1284,sensation,感覚、大評判
i-1285,panel,委員団、パネル
i-1286,workforce,労働力、労働人口
i-1287,abuse,乱用、虐待
i-1288,vice,悪徳、副
i-1289,scenario,想定、脚本
i-1290,vaccine,ワクチン
i-1291,metaphor,比喩
i-1292,transition,移行、変化
i-1293,galaxy,銀河
i-1294,mineral,鉱物、ミネラル
i-1295,sibling,きょうだい
i-1296,prominent,著名な、目立つ
i-1297,magnetic,磁気の、魅力的な
i-1298,polar,極地の、正反対の
i-1299,passive,受け身の、消極的な
i-1300,vulnerable,傷つきやすい、弱い
i-1301,spiritual,精神の、霊的な
i-1302,diminish,減る、減らす
i-1303,cite,引用する、引き合いに出す
i-1304,dispute,異議を唱える、争い
i-1305,foster,育てる、育む
i-1306,deprive,奪う、与えない
i-1307,govern,統治する、支配する
i-1308,transmit,送る、伝える
i-1309,thrill,わくわくさせる、ぞくぞくさせる
i-1310,complicate,複雑にする
i-1311,persist,続く、固執する
i-1312,premise,前提
i-1313,distress,苦痛、苦悩
i-1314,expedition,遠征、探検
i-1315,adolescent,思春期の若者、青年
i-1316,ethic,倫理、道徳
i-1317,faculty,能力、学部
i-1318,scheme,計画、策略
i-1319,particle,粒子、わずかな量
i-1320,poll,世論調査、投票
i-1321,fatigue,疲労、疲れ
i-1322,dilemma,板挟み、ジレンマ
i-1323,queue,列、待ち行列
i-1324,narrative,物語、語り
i-1325,wilderness,荒野
i-1326,virtue,美徳、長所
i-1327,dynamic,活発な、力強い
i-1328,oral,口頭の、口の
i-1329,subsequent,その後の、続いて起こる
i-1330,indifferent,無関心な、どうでもよい
i-1331,inferior,劣った、下位の
i-1332,obese,肥満の
i-1333,sacred,神聖な
i-1334,versus,対、対抗
i-1335,bind,縛る、結びつける
i-1336,reinforce,強化する、補強する
i-1337,accumulate,蓄積する、集める
i-1338,dismiss,解雇する、退ける
i-1339,conceal,隠す、隠ぺいする
i-1340,seal,密閉する、封印する
i-1341,migrate,移住する、移動する
i-1342,exaggerate,誇張する、大げさに言う
i-1343,mislead,誤解させる、だます
i-1344,disgust,うんざりさせる、嫌悪感
i-1345,cease,やめる、中止する
i-1346,compromise,妥協する、妥協
i-1347,elect,選ぶ、選挙で選ぶ
i-1348,extract,取り出す、抽出する
i-1349,empathy,共感
i-1350,enterprise,企業、事業
i-1351,output,生産高、出力
i-1352,congress,議会
i-1353,Muslim,イスラム教徒
i-1354,estate,財産、不動産
i-1355,retail,小売り、小売りの
i-1356,province,州、県
i-1357,reef,サンゴ礁
i-1358,excess,過剰、超過
i-1359,prey,獲物
i-1360,recession,不況
i-1361,retreat,退却、後退
i-1362,plot,筋書き、陰謀
i-1363,sculpture,彫刻
i-1364,dense,密集した、密度の高い
i-1365,exotic,異国風の、外来の
i-1366,acid,酸、酸性の
i-1367,noble,高貴な、貴族
i-1368,parallel,平行の、類似の
i-1369,vertical,垂直の、縦の
i-1370,abundant,豊富な
i-1371,hybrid,雑種の、ハイブリッドの
i-1372,irrelevant,関係のない
i-1373,infer,推測する、推論する
i-1374,venture,思い切ってやる、事業
i-1375,accelerate,加速する、促進する
i-1376,thrive,繁栄する、うまくいく
i-1377,nurture,育てる、育む
i-1378,cast,投げる、配役
i-1379,tempt,誘惑する、する気にさせる
i-1380,withdraw,引き出す、撤退する
i-1381,recruit,募集する、採用する
i-1382,uncover,暴く、明らかにする
i-1383,implement,実行する、実施する
i-1384,impulse,衝動
i-1385,pension,年金
i-1386,temper,気質、気性
i-1387,priest,聖職者、司祭
i-1388,acquaintance,知人、面識
i-1389,offspring,子、子孫
i-1390,famine,飢きん
i-1391,recipient,受取人、受領者
i-1392,combat,戦闘、戦う
i-1393,fraction,一部、わずか
i-1394,index,索引、指数
i-1395,intuition,直感
i-1396,motive,動機
i-1397,consent,同意、承諾
i-1398,asset,資産、財産
i-1399,competent,有能な、適任の
i-1400,delicate,繊細な、もろい
i-1401,interior,室内の、内部の
i-1402,humble,謙虚な、控えめな
i-1403,magnificent,壮大な、見事な
i-1404,assure,保証する、断言する
i-1405,revive,復活させる、回復する
i-1406,flee,逃げる、逃亡する
i-1407,deposit,預ける、預金
i-1408,depict,描写する、表現する
i-1409,outline,要点を述べる、概要
i-1410,renew,更新する、再開する
i-1411,assert,主張する、断言する
i-1412,strain,負担をかける、緊張
i-1413,strive,努力する、懸命に取り組む
i-1414,boast,自慢する、誇る
i-1415,offend,気分を害する、怒らせる
i-1416,assemble,集める、組み立てる
i-1417,descend,降りる、下る
i-1418,quest,探求、探求の旅
i-1419,mainstream,主流
i-1420,troop,軍隊、部隊
i-1421,outbreak,発生、勃発
i-1422,cluster,集まり、集団
i-1423,pollen,花粉
i-1424,hive,ハチの巣
i-1425,dose,1回分、投与量
i-1426,suicide,自殺
i-1427,feast,祝宴、ごちそう
i-1428,cuisine,料理、料理法
i-1429,proverb,ことわざ
i-1430,formula,方式、公式
i-1431,tuition,授業料
i-1432,kidney,腎臓
i-1433,grief,深い悲しみ、悲嘆
i-1434,skull,頭蓋骨
i-1435,tomb,墓
i-1436,monk,僧、修道士
i-1437,worship,崇拝、礼拝
i-1438,fragile,壊れやすい、もろい
i-1439,vocal,声の、発声の
i-1440,scarce,乏しい、まれな
i-1441,notable,注目すべき、著名な
i-1442,refresh,さっぱりさせる、元気を回復させる
i-1443,comprehend,理解する
i-1444,flock,群がる、群れ
i-1445,clarify,明確にする、はっきりさせる
i-1446,spark,引き起こす、火花
i-1447,seize,つかむ、奪う
i-1448,soar,急上昇する、舞い上がる
i-1449,disguise,変装させる、変装
i-1450,strip,取り去る、はぎ取る
i-1451,weave,織る、編む
i-1452,internship,実務研修、インターン
i-1453,outlet,直売店、はけ口
i-1454,remedy,治療法、改善策
i-1455,compassion,思いやり、同情
i-1456,curse,悪態、呪い
i-1457,encyclopedia,百科事典
i-1458,fragment,断片
i-1459,outlook,見通し、見解
i-1460,triumph,勝利、成功
i-1461,spectator,観客
i-1462,behalf,代わって、ために
i-1463,interval,間隔、合間
i-1464,theft,窃盗
i-1465,collision,衝突
i-1466,landmark,目印、画期的出来事
i-1467,thorough,徹底的な、入念な
i-1468,tame,飼いならす、おとなしい
i-1469,disabled,障がいのある
i-1470,alternate,代わりの、交互の
i-1471,partial,部分的な、偏った
i-1472,fierce,激しい、どう猛な
i-1473,sole,唯一の、足の裏
i-1474,loyal,忠実な、誠実な
i-1475,enroll,登録する、入学する
i-1476,halt,止まる、止める
i-1477,invade,侵入する、侵略する
i-1478,steer,操縦する、導く
i-1479,resume,再開する、履歴書
i-1480,appoint,任命する、指定する
i-1481,swell,膨らむ、腫れる
i-1482,confess,告白する、認める
i-1483,resign,辞任する、やむを得ず受け入れる
i-1484,unfold,開く、明らかになる
i-1485,inflation,インフレ、物価上昇
i-1486,clash,衝突、対立
i-1487,margin,余白、差
i-1488,bullet,銃弾
i-1489,despair,絶望、絶望する
i-1490,nursery,託児所、苗床
i-1491,spouse,配偶者
i-1492,mummy,ミイラ、母親
i-1493,odor,におい
i-1494,tide,潮、流れ
i-1495,nonsense,たわごと、ばかげた話
i-1496,accidental,偶然の、過失による
i-1497,uneasy,不安な、落ち着かない
i-1498,swift,素早い、急速な
i-1499,collaborate,協力する、共同で働く
i-1500,insert,差し込む、挿入する
i-1501,overtake,追い越す、追いつく
i-1502,carve,彫る、切り分ける
i-1503,stray,道に迷う、はぐれる
i-1504,lag,遅れる、遅れ
i-1505,cling,しがみつく、くっつく
i-1506,grind,すりつぶす、挽く
i-1507,knit,編む、結びつける
i-1508,leak,漏れる、漏らす
i-1509,smash,粉砕する、打ち壊す
i-1510,frown,眉をひそめる、しかめっ面
i-1511,draft,草案、下書き
i-1512,cabinet,内閣、戸棚
i-1513,arithmetic,算数、計算
i-1514,legacy,遺産、伝統
i-1515,rage,激怒、怒り
i-1516,sorrow,悲しみ、悲嘆
i-1517,moisture,水分、湿気
i-1518,altitude,高度
i-1519,scope,範囲、余地
i-1520,intermediate,中間の、中級の
i-1521,gloomy,陰気な、薄暗い
i-1522,faint,かすかな、気を失う
i-1523,verify,確かめる、検証する
i-1524,rotate,回転する、循環する
i-1525,blur,ぼかす、ぼやける
i-1526,overlap,重なる、重複する
i-1527,surrender,降伏する、明け渡す
i-1528,stumble,つまずく、よろける
i-1529,await,待つ
i-1530,inspect,点検する、検査する
i-1531,hazard,危険、危険要因
i-1532,rebel,反逆者、反逆する
i-1533,merchandise,商品、商品類
i-1534,supervisor,監督者、指導教員
i-1535,personnel,職員、社員
i-1536,duration,持続時間、継続期間
i-1537,certificate,証明書
i-1538,biography,伝記
i-1539,breakdown,故障、崩壊
i-1540,eligible,資格のある、適格な
i-1541,diligent,勤勉な
i-1542,stubborn,頑固な、強情な
i-1543,ripe,熟した、成熟した
i-1544,stiff,硬い、こわばった
i-1545,vacant,空いている、空席の
i-1546,punctual,時間に正確な
i-1547,merge,合併する、統合する
i-1548,bleed,出血する、血を流す
i-1549,browse,拾い読みする、見て回る
i-1550,flap,パタパタ動く、パタパタ音を立てる
i-1551,basin,流域、盆地
i-1552,erosion,侵食
i-1553,congestion,混雑、うっ血
i-1554,complement,補完、補足
i-1555,mold,型、カビ
i-1556,bribe,賄賂、賄賂を贈る
i-1557,harassment,嫌がらせ、ハラスメント
i-1558,timid,臆病な、気が小さい
i-1559,contagious,伝染性の、うつりやすい
i-1560,weary,疲れ果てた、うんざりした
i-1561,numb,麻痺した、感覚のない
i-1562,thereby,それによって
i-1563,analogous,類似した、同様の
i-1564,viable,実行可能な、成り立つ
i-1565,entity,実体、存在
i-1566,integrity,誠実さ、完全性
i-1567,estimation,推定、見積もり
i-1568,differentiate,区別する、差別化する
i-1569,formulate,策定する、組み立てる
i-1570,amend,修正する、改正する
i-1571,omit,省く、抜かす
i-1572,maximize,最大化する
i-1573,minimize,最小化する
i-1574,fluctuate,変動する
i-1575,devise,考案する、工夫する
i-1576,accord,合意、調和
i-1577,cognitive,認知の
i-1578,phenomenon,現象
i-1579,norm,規範、標準
i-1580,linguistic,言語の、言語学の
i-1581,regardless,関係なく
i-1582,hypothesis,仮説
i-1583,sophisticated,高度な、洗練された
i-1584,forth,前へ、先へ
i-1585,primate,霊長類
i-1586,correlation,相関関係
i-1587,subtle,微妙な、わずかな
i-1588,rid,取り除く
i-1589,asteroid,小惑星
i-1590,profound,深い、重大な
i-1591,bob,上下に動く
i-1592,underlie,根底にある
i-1593,dimension,側面、次元
i-1594,counterpart,対応するもの、相手
i-1595,stroke,脳卒中、打撃
i-1596,ecology,生態学
i-1597,radical,急進的な、根本的な
i-1598,nonetheless,それでもなお
i-1599,infrastructure,インフラ、基盤施設
i-1600,jury,陪審
i-1601,molecule,分子
i-1602,pesticide,殺虫剤、農薬
i-1603,fancy,好み、思いつき
i-1604,elaborate,入念な、凝った
i-1605,intimate,親密な、個人的な
i-1606,medieval,中世の
i-1607,simultaneously,同時に
i-1608,orient,慣れさせる、方向づける
i-1609,resort,頼る、手段
i-1610,advocate,主張する、提唱する
i-1611,constitute,構成する、成り立つ
i-1612,undertake,引き受ける、着手する
i-1613,compound,悪化させる、合成物
i-1614,rear,育てる、後ろの
i-1615,millennium,千年紀、千年間
i-1616,landmine,地雷
i-1617,controversy,論争
i-1618,consensus,合意、一致した意見
i-1619,supplement,補う、補足
i-1620,microbe,微生物
i-1621,undergraduate,学部生
i-1622,slavery,奴隷制度
i-1623,sensory,感覚の
i-1624,chronic,慢性的な
i-1625,voluntary,自発的な、任意の
i-1626,inclined,傾向がある、気が向いている
i-1627,esteem,尊敬する、尊敬
i-1628,accustom,慣れさせる
i-1629,flourish,繁栄する、栄える
i-1630,enforce,施行する、実施する
i-1631,suspend,停学にする、一時停止する
i-1632,exploit,利用する、搾取する
i-1633,integrate,統合する
i-1634,incorporate,組み入れる、取り入れる
i-1635,utility,実用性、公共事業
i-1636,fluid,流体、流動的な
i-1637,commodity,商品
i-1638,inability,無力、できないこと
i-1639,republic,共和国
i-1640,debris,残骸、がれき
i-1641,bug,病原菌、虫
i-1642,hierarchy,階層、序列
i-1643,cosmetic,化粧の、美容の
i-1644,deliberate,慎重な、故意の
i-1645,toxic,有毒な、有害な
i-1646,peculiar,特有の、奇妙な
i-1647,trivial,ささいな、取るに足らない
i-1648,precede,先立つ、前に起こる
i-1649,compel,強いる、無理にさせる
i-1650,violate,侵害する、違反する
i-1651,confine,限定する、閉じ込める
i-1652,prolong,長引かせる、延長する
i-1653,shed,脱ぎ捨てる、流す
i-1654,emit,発する、排出する
i-1655,utilize,活用する、利用する
i-1656,compute,計算する、算出する
i-1657,compensate,補償する、埋め合わせる
i-1658,prevail,広まる、普及する
i-1659,dignity,尊厳
i-1660,parliament,議会
i-1661,agenda,協議事項、議題
i-1662,epidemic,流行、流行病
i-1663,intake,摂取量、取り入れ
i-1664,spectrum,スペクトル、範囲
i-1665,infinite,無限の
i-1666,compulsory,義務の、強制の
i-1667,ambiguous,あいまいな
i-1668,obscure,無名の、分かりにくい
i-1669,skeptical,懐疑的な
i-1670,static,静的な、静止した
i-1671,hostile,敵対的な、反感のある
i-1672,gross,総計の、ひどい
i-1673,conquer,征服する、克服する
i-1674,induce,引き起こす、誘発する
i-1675,attain,達成する、到達する
i-1676,retrieve,取り出す、検索する
i-1677,portray,描写する、演じる
i-1678,designate,指定する、指名する
i-1679,contradict,矛盾する、反論する
i-1680,disrupt,混乱させる、妨害する
i-1681,navigate,航行する、誘導する
i-1682,inhabit,住む、生息する
i-1683,diagnose,診断する
i-1684,oblige,義務づける、助ける
i-1685,underestimate,過小評価する、見くびる
i-1686,distort,ゆがめる、歪曲する
i-1687,abolish,廃止する
i-1688,dispose,処分する、配置する
i-1689,refine,洗練する、精製する
i-1690,enrich,豊かにする、充実させる
i-1691,coordinate,調整する、連携させる
